Id,SpotId,UserId,UserName,Stars,Goods,Year,Month,Day,Hour,Minute,Second,CommentData,PhotoUrl1,PhotoUrl2,PhotoUrl3
12,6,-1,"水娅",5,3,2017,1,7,21,17,42,"搭11号线去拍写真😄说好的美丽车厢-没有😔真的很远呀，地铁+公交车都需要2小时左右😔凤凰古村跟版画村很像，但人很少，非常安静，这点很不错👍这是南宋民族英雄文天祥后代的聚集地，一个拥有700多年历史的古老村落，有60多座保存完好的明清时期民居建筑。特别适合拍照[机智]","http://qcloud.dpfile.com/pc/XsSvTLEgsXStMMgBoM_lcldddVGgSUqvx8zaPOONmgp8MJdP1Kqdm4-kPdOGmJWT.jpg","http://qcloud.dpfile.com/pc/TFiBogtkRNymXHhB2DZ8BSu9E93rjYGE0Fk82BseaqMGKtZVVy10_IHGzJTdp2vy.jpg","http://qcloud.dpfile.com/pc/QIEywiBIg9miOs44M6p5ZKy2GEd6XMBArSjSBhgSfZrUOBzXhVSeyTHI_TSgvGWZ.jpg"
13,7,-1,"青蛇萌萌哒",4,1,2017,8,16,10,46,48,"凤凰古村坐落在现代化高楼之中的幽静小村，据说是文天祥的故居，周边有文天祥博物馆，沿大路向前可到达凤凰山","http://qcloud.dpfile.com/pc/SrfYpYh1Xl7a1MbiWkfir_6cqfGruK-vJ3dz-k6CtTfLCnwDKi-MOVwCi-2Wuecj.jpg","http://qcloud.dpfile.com/pc/izqEBCbqMKgNjirOH4x5b03bsIiO8FTtvFmNeu26K_KAGx8yumYypWVVs6WJEEJO.jpg","http://qcloud.dpfile.com/pc/zXNYt8iCc9aOZRDYcwgDh725zXMp3Hi08LVNogzsH8hFGxLZhpHEOvAR0JRyVnRO.jpg"
14,7,-1,"dpuser_3450808407",3,6,2016,3,5,10,17,8,"总得来说参观一下，没什么好玩的，但是有的屋瓦古旧，让人身临其境般怀念，异感，比较喜欢看古代小说，所以比较喜欢古物","http://qcloud.dpfile.com/pc/n1ZBwrnDor3KnlxOy8GRJGcWpj7JHihEGJ6xpteiu3a3PJWwnF78Yoq-qdyGO3oK.jpg","http://qcloud.dpfile.com/pc/WP_LD2dS0zpCqRMytQKS8_9vWUXZts0uk1PySgAT02KPWvPBcVXD2Ai6LBZQdCUi.jpg","http://qcloud.dpfile.com/pc/WlqVLkHbS1F2YgL3pUpLGoGyG-3Gw-v_FYUlUUxPy1bFNJPL8W5Lo_XuvU8zCTKn.jpg"
15,8,-1,"陳少_2018",5,19,2017,9,17,17,57,33,"古的味道感觉一下子回到了那个年代","http://qcloud.dpfile.com/pc/CaDHoAd7fl8tIK8rMlhQAiLgHoo2fPP5_R5R4MPLlRlhh9lHPgrTSzD8SDenrcOx.jpg","",""
16,8,-1,"Darcy_HQ",3,10,2017,11,21,7,18,55,"还不错，适合带家人小孩去，上次我是一个人，一部单反浪着","http://qcloud.dpfile.com/pc/CaDHoAd7fl8tIK8rMlhQAiLgHoo2fPP5_R5R4MPLlRlhh9lHPgrTSzD8SDenrcOx.jpg","",""
17,9,-1,"AA贸易库存湛",5,1,2017,1,29,13,50,4,"那的哪个下吃挺不错的可以去试试","http://qcloud.dpfile.com/pc/CaDHoAd7fl8tIK8rMlhQAiLgHoo2fPP5_R5R4MPLlRlhh9lHPgrTSzD8SDenrcOx.jpg","",""
18,9,-1,"不惑Rosa",5,2,2016,10,19,19,9,43,"环境:没事的时候去这里看了一下，虽没有修葺之前那么有年代感，但现在总体来说还是挺不错的。是一个闲逸慢行的好去处，环境安逸、比较干净。喜欢安静的人来这里走一趟还是挺好的。格局:排列整齐的明清民居，四通八达的弄巷，随处可见的石椅。边走边观赏，怎么走都不怕会走到死路，累了就随处找张椅子坐下来，享受清闲时光。建筑:中国传统民居，中大门上的门罩是装饰的重点。外墙头大多采用黑地搏风，纹饰图案以黑色为底。用白色蚝类拌成灰浆，采用“平面做”的手法做成，俗称“扫乌烟，画草尾”。黑色在五行中属水，为玄武，居北方。这种纹饰皆与水文化息息相关，是广府民系水文化的物化形式。游玩:在这里一本书、一盏清茶、一曲轻韵，是一种选择。一部单反或一部手机，跟着镜头，随处慢慢观赏，记录一点一滴，是一种选择。穿上复古的服装，来一场梦中的写真。穿上心仪的服装，来一场有年代感的街拍，也是一种选择。走进祠堂听听前辈们讲讲这里的故事，也是一种选择。想怎么走呢？随心所欲。做自己想做的事。这一切很是美好。","http://qcloud.dpfile.com/pc/CaDHoAd7fl8tIK8rMlhQAiLgHoo2fPP5_R5R4MPLlRlhh9lHPgrTSzD8SDenrcOx.jpg","http://qcloud.dpfile.com/pc/YYqC6sOmrRntc63wNySNTvcReGrtFsUa3OrK2kiaULfEkKuruj4jMqhwzWqGFK3M.jpg","http://qcloud.dpfile.com/pc/t-hch2KotHMSislPUyq1aaaPUbAbyMM-d5J_sU_8KPjHN_6lal-bE9xvQvncbGEB.jpg"
19,10,-1,"香云纱_3779",1,18,2016,2,2,12,9,28,"凤凰古村位于福永街道凤凰山脚下，是民族英雄文天祥后人兴建的小村。搜索到的资料称凤凰古村有60多座明清民居的古建筑群沐浴了500年风霜雨雪，是华南地区罕见的，更是深圳目前保存得最完整的古建筑群。但我所见到的凤凰古村是修缮一新整齐划一的仿古建筑群，不能称之为古村，能见证曾经的历史就只余一小块断墙了，原古建筑群完全消失了，难道这就是政府相关部门保护文物的办法就是推翻原建筑群重新改建？整个建筑群现改建成为约有五十多间整齐划一的独立仿古房子，虽然门楣、屋檐间依稀有些历史的印记，但过于刻意的修缮及规划，完全没有古村落的感觉。建筑群只有约不到十间在经营，分别为香云纱文化艺术馆、民间收藏家经营的根雕收藏馆（收费五元）、禅茶馆（收费五元），油画馆，而余下的则经营小吃及手工艺品店，空置的房子则在招租。由于整个建筑群大部分房屋都大门紧锁，因此游人也寥寥可数，我也只是匆匆欣赏了一下修缮一新的官帽墙及灰制雕塑和壁画就离开了。整个建筑群还值得一看的就是文氏祠堂，金灿灿的入门屏风很吸晴，内里不大，但由于修缮得过于新，没有一点历史感，还是觉得过于可惜的。凤凰古村永久性的消亡，是保护与发展的失衡所造成。虽然一边要死守保护防线，一边却面临经济发展需求，但最终还是败于经济发展的需求，很可悲。","http://qcloud.dpfile.com/pc/eYpGwp-8_bEBPT36XoisTEfeYH-bMlGhoe7Z0UVe2mRB_m9GvzAmandS66lWRCnj.jpg","http://qcloud.dpfile.com/pc/MPTNVexj3VTm_fU4H50paLqKqcvxvpGjuV3IjHleCxUUZNWuADq_vmsIY3c4TqJL.jpg","http://qcloud.dpfile.com/pc/TgvrgCJa2zaShQNe4TGW85hORS-orTl2eS_lJSmnNakDv4ZsBRNbMvuXH24fgh3s.jpg"
20,10,-1,"国王2012",1,19,2016,1,25,13,30,2,"根本找不到，变成了沙井镇政府了，晕死了","http://qcloud.dpfile.com/pc/TTBut33KSkd9XROo2Z0bMBfZMrwl6HwHb2i4QKosM_WTcgSRKm9ctmpP2NGS5BRq.jpg","",""
21,11,-1,"Kelly&Spencer",5,1,2016,11,2,16,13,23,"游览完凤凰山返回的路上游览了凤凰古村。在私塾里看到了古村落旧貌新颜的对比图，前后变化巨大，修缮一新的村落似乎人气不算太旺，依稀能看到五月份文博会分会场的影子，据说有汴绣、木板年画、套色烙画、蜡像、瓷刻、葫芦画、凤翔泥塑、马杓脸谱、罩金漆器、香云纱织造与服饰、鲎鱼壳画、石绘、布艺堆绣等50余个艺术种类，可谓琳琅满目，蔚为大观。可惜来晚了人去楼空。顺道感受了岭南民居的特色和古村巷道艺术景观，建筑立面富有表现力度，所谓“扫乌灰、画草尾”，此类纹饰和尚黑的审美心理和水文化息息相关。雨天来走走小巷道还是蛮有感觉的，好像有个作家说的，一下雪那个记忆中的北平就回来了，雨天的青石板路才够味道。只是少了点炊烟。","http://qcloud.dpfile.com/pc/TTBut33KSkd9XROo2Z0bMBfZMrwl6HwHb2i4QKosM_WTcgSRKm9ctmpP2NGS5BRq.jpg","http://qcloud.dpfile.com/pc/FOmiD4eABeFiSbjqJ4RRjLCp8ULD4PpUTZ6v1npc7zB9M4rjZjna-S_GRRNYlxmg.jpg","http://qcloud.dpfile.com/pc/sUeDhozdBR_2O3dmHTGgef-WSOgI78Bae3-W1XL_h3kKPeVoEqh57l6BVWW_x4HD.jpg"
22,11,-1,"老黒子",5,0,2017,7,10,15,32,45,"爬山好累啊……………………不想去第二次啦！","http://qcloud.dpfile.com/pc/NEQWd4Z8zUNCGuCdp5gkiab8LNqZ1RS9SRtAqRgE5AVQxuhXGMowGxLAVjgHomGg.jpg","",""
23,12,-1,"彩兒721",3,0,2017,10,12,7,54,30,"不怎么好玩，人都很少，也没有什么好看的","http://qcloud.dpfile.com/pc/NEQWd4Z8zUNCGuCdp5gkiab8LNqZ1RS9SRtAqRgE5AVQxuhXGMowGxLAVjgHomGg.jpg","",""
24,12,-1,"劉酱。",4,0,2017,11,18,19,31,50,"在宝安区福永街道凤凰山脚下，没有上山就是来古村看一看。应该是文天祥后人的聚居地。祠堂、家塾外观都很棒，但是没有开门进不去。应该是作为景点吧，看起来很多都老屋新用了，有不少卖酒啊卖各种小玩意儿的店铺。整体来说感觉一般。","http://qcloud.dpfile.com/pc/NEQWd4Z8zUNCGuCdp5gkiab8LNqZ1RS9SRtAqRgE5AVQxuhXGMowGxLAVjgHomGg.jpg","http://qcloud.dpfile.com/pc/G4qW-zcpGLaXcWV7cSad4y_3da0FDB9PxebzTABtjUkmmJijn03Yv9780oihqD-v.jpg","http://qcloud.dpfile.com/pc/qF45YX49ailr0LYd6sYb8ilb-9Htsca_l4AyaKOem5Noa32pj_cACV1FTkIDfbG_.jpg"
25,13,-1,"冰冰爱吃白色巧克力",4,0,2017,5,23,9,41,17,"在深圳西部福永街道凤凰社区，有一座具700多年历史的古老村落——凤凰古村。在岁月的长河里，古村历经岁月风霜洗礼，默默见证着深圳沧海桑田的巨变。当深圳这个昔日的小渔村已成为举世瞩目的大都市后，凤凰古村却依然像一个大家闺秀，不被外界的繁华和喧嚣所诱惑，默默地坚守着。而今，凤凰社区90%以上为文姓，古村现有古建筑约360座，占地面积5.2万平方米。其中，明代建筑4座，清代建筑60座，民国时期建筑96座，是广东省内古建最集中、保存最好、面积最大的典型的广府民居建筑群之一，历史、文化、艺术、科学价值突出。凤凰古村的巷道颇具特色，为了适应南方炎热的气候，凤凰村巷道长宽比多在1.5∶1~2∶1之间，使得多数巷道全天都处于建筑阴影之中，夏季主导风向形成冷巷。因为采用“梳式布局”，在巷道中，路人只能看到鳞次栉比的山墙和寨门，不能一眼把民房内看个通透，使得保留明清风格的民房充满了神秘感。凤凰村古建筑有祠堂、书室、家塾和民居这4种类型。房屋多是以花岗岩或红砂岩为墙基的砖木结构，清水砖墙，屋顶有船形正脊，还有灰制雕塑和壁画。在一些民房大门上方，我们还发现了石刻的匾额和雕塑，因为年代久远，图案已经模糊。而在民房内，梁架墩头上还有木刻或石刻纹饰，封檀板上有木刻人物故事和花草图案。凤凰古村有灰制雕塑人物、动植物图案约2000多组，木刻人物、动植物图案3600多组，石刻人物、动植物图案500多组，壁画1000多组，石刻阳字门匾17个。在茅山公家塾前厅内墙顶部，绘有一幅巨大的明代风格的彩绘人物故事画“八仙图”，为深圳地区民宅仅存完好的一幅明清巨型壁画。","http://qcloud.dpfile.com/pc/lIcJ5fTZLL3FjLyyWlbzFZsQCQL38n1EyV7EVNz_GhphUwfmJ0Ui936B-ixzDXlS.jpg","http://qcloud.dpfile.com/pc/pqj2senDm0SmdR0uYcnCp_OuLmhL4jcwQqf3eBU90dgzf8md2GU5_ldYI5vqQGtu.jpg","http://qcloud.dpfile.com/pc/YGUYkdtYCOzicMWrxbPdWDpaqBxLFZ_okA1vt9A-lqGaxsvACQ8H7UDkejX_nwBh.jpg"
26,13,-1,"梦中的纸马",4,0,2016,4,16,20,25,1,"凤凰古村在宝安区福永街道凤凰山脚下，去凤凰山登高祈福，必然要经过古村的入口，文昌塔于入口处赫然耸立，虽不高，却是古村的标志性古建。凤凰古村是文天祥后代的聚集地，拥有700多年历史，隐藏着60多座保存完好的明清时期民居建筑。文天祥如何与福永结缘？南宋末年，元军追杀末代王朝，从杭州沿海岸线一路到广东江门，后在江门的崖门最后一战击溃宋军，导致南宋灭亡。文天祥是在海陆丰一带被擒，被元军押至崖门的海面上劝降宋军，文天祥不从，高声诵出千古绝唱《过伶仃洋》，伶仃洋恰恰是宝安西乡对面的海域，文天祥被押解经过时感慨万千。文天祥家眷经福永时落住下来，其胞弟文璧的儿子文应麟，携家眷及部分族人迁至凤凰村，购田置业定居，开村立业，繁衍后代。而今，凤凰社区90%以上为文姓，古村现有古建筑约360座，占地面积5.2万平方米。其中，明代建筑4座，清代建筑60座，民国时期建筑96座，是广东省内古建最集中、保存最好、面积最大的典型的广府民居建筑群之一。凤凰古村等待了数百年之后，终于迎来涅槃蝶变，福永街道与中国艺术研究院合作，将古村打造成为中国非遗保护研究(传承)基地，首期按照非遗展示和保护要求修缮150栋不同风格的历史建筑(其中文物建筑5栋)，每间面积约100平方米，总面积约1.5万平方米。如今，改造修缮后的凤凰古村开始成为深圳文化旅游的一张名片。每次去登山，经过古村时不禁侧目，昨天终有机会一睹芳容。古村整体修缮后已交由运营商统一招商管理，每栋古建都有着独特的业态，如茶艺木艺、非遗展示、霓裳古韵等等，档次都比较高，也有的从事特色餐饮。古建修缮后，间隔的小巷格外细长，流连其中，趣味横生。凤凰古村还只是初露头角，去游玩的人很少，个人感觉还需要加强推广，使之成为深圳人乃至外地游客必去的文化圣地和旅游景点。","http://qcloud.dpfile.com/pc/wjDHjjutSukc9pa6BaQHVfl3axTSGbX-1ip5_-Qe08vbVVu1U9yMnrPXg6sI7xwI.jpg","http://qcloud.dpfile.com/pc/YoPsrjVqKOFq0c85Q_ozrdjbFrPaNKSZB-SD2qAj1qcD1jFp8aXxG3j9FsZjImge.jpg","http://qcloud.dpfile.com/pc/PHM8fD_QBlubrZGm_7kLrEVtnyeg5Ci7WNnP_jBUUU0LZ64QswIuCIYQno99hWVZ.jpg"
27,14,-1,"幸运儿、yi",5,0,2016,9,17,9,50,35,"很不错，陪朋友去的，本来这么大太阳都不想出门去到还好没上我失望😊","","",""
28,14,-1,"畅晨_6143",3,1,2016,7,18,10,33,21,"景点状态应该是发展开发中，原住户少，商家少，游客少，只有我一个人。房屋古朴典雅，文氏家族历史传承就在这里了。文氏祠堂门口有一咖啡馆，小哥重庆人，人帅，热情，做的芒果冰沙很好吃……","http://qcloud.dpfile.com/pc/Cn_RVNvbc7pSFTyudVJP_VExHUVdmceQDWhEAyyA0vTk8uDu-cFaBHYP76dcvldK.jpg","http://qcloud.dpfile.com/pc/ecwWUvTPstKyNsk_N1snQg5sbtjfa4381fff2HoxFsOc4IoerzVTwqFERZvpNU16.jpg","http://qcloud.dpfile.com/pc/4CQYPc3ELGL0oWWQfSSl5ceNFnPeyEJXpd2LgAK723UbZyK4CeQ9J2nTR_DtjOLl.jpg"
29,15,-1,"2016阿玖",3,1,2016,4,4,10,59,37,"风景还可以就是蚊子太多被咬死了","http://qcloud.dpfile.com/pc/Ig9WFvrGKeh6aOPfGvfvDbdDC4HYRYY-E08CJygu9aMkm69m6PxMLAvXs5cfBkfK.jpg","http://qcloud.dpfile.com/pc/GmOna_7DFfR49pYvPmA51H5bwc5SmHaieF93u2zC_g06GojjO9dGYw7vU2D4QCpn.jpg","http://qcloud.dpfile.com/pc/fzIib6W9g91fPDeb1ye_wah42mCGjk0XYbkDsmh8kAXI8QJFkryaFP0qlpQWDDTp.jpg"
30,15,-1,"颜月小雨",4,0,2016,3,10,9,10,50,"还可以就是有点远建议行程安排的早点或者开车去","","",""
31,16,-1,"癲貓吾食魚",4,43,2017,10,27,6,29,16,"剛開展的時候就關注了終於趕上合適的時間來加上下雨整個觀展過程都屬於霸館狀態在身邊沒有拍拍拍的情況下好好的看了一回【水晶宇宙】用无数LED灯连成串垂直贯穿整个参展的空间观者穿越中间狭窄的小道时燈光音樂隨著變化冷色調拍起來好美【被追逐的八咫乌】置身在这件作品中的时候真心覺得好棒利用光影的移动让观众产生整个空间在移动的感觉全包围式的空间可以坐著也可以跟著一起互動拍照的同时会错过空间感受所以我看了兩遍不過怕暈的人要注意了【呼应灯森林】满天的灯人在灯火阑珊里梦在光影斑驳间這個部分貌似是最受歡迎的不過看的過程要注意是不能坐在地上和觸碰燈飾的【花舞森林】花开花谢都在一瞬間……【遠古神靈故事】觸碰甲骨文就會變化成相應的動畫形成一副畫好玩又有趣還有好些就不一一說了有興趣的可以去看看票價不算便宜自己衡量值不值得看咯","http://qcloud.dpfile.com/pc/tO-3jMjdlZsMs2VQ06Gty7BQwfC4COE2UMq1FP1Zqj6-f7sb22YmgqRhzdVkM0Zb.jpg","http://qcloud.dpfile.com/pc/VPpesdgJmEuuHIt4IN-xBFzWTl6HdSFpwnPjTqWUhGa_CRNW_9yAJbvIbTTe5Hwu.jpg","http://qcloud.dpfile.com/pc/sdnOcl-Rkiu4Ub0kaJZoHGQFw7acFuw6qBmied35NyufZONjk3iYB-FH-SawOvaN.jpg"
32,16,-1,"素肌感_",4,1,2016,12,12,12,5,14,"#我的偽文青生活記作為一個偽文青tamlab來到家門口當然就要去的啊✔️選擇週一上午去成功避開人群在大眾點評上購票比WeChat購票更優惠平日票¥170有交易⚠️需要提前幾日訂購⚠️即日無法優惠購票⚠️現場排隊買票只收現金學生票¥160（國內、海外學生帶上學生證前往喲）很多人都有說兩百去看不太值老生常談值不值得見仁見智對於喜歡拍照的人來講又怎麼會錯過teamlab所以去teamlab最重要的就是要帶個會攝影的盆友平時真的要好好和攝影發燒友打好關係🤡而像我這種沒朋友的人注定就是要去拍人人人人人❓😆當然是要去拍緣子的啊✔️場內禁止飲食、無洗手間、禁止使用閃光燈、自拍桿、三腳架最重要一點❕禁止倒流❕我在第一個場景和最後一個場景花的時間最多殺了不少菲林一進去就是「呼應燈森林」暖色調時最唯美燈光除了隨著時間變換顏色外還會以人為中心從中心到外圍慢慢變亮茶色燈拍出來像滿天天燈入去時剛好是茶色循環一次需要至少半小時個人最喜歡「水晶宇宙」最好的打卡位就是一進門那條小過道（個人感覺，攝影大神們可忽略）特意需要說明一下在那個位置拍照停留一下工作人員會一直催促你前進否則會影響後面進來的人說裡面還有很多拍照的地方其實不是❕❕過道長度就那麼一點❕❕離開了就不能在倒流大家切記這個場景和之前的12個都不太相同使用微單、單反的盆友們調好參數再進入這個場景會比較有優勢走到盡頭房間右邊的角落有一部平板上面有不同的燈光特效可以選擇大家可以自由選擇不同特效拍出不同感覺的照片和影片此外場館內還有一些場景是互動型場景例如受大眾喜歡的「花與人」、「彩繪城鎮」等「花與人」是另一女生們願意長時間逗留的場景觸碰牆面鮮花朵朵開/朵朵落但燈光效果打在臉上拍照效果我就感覺一般「彩繪城鎮」需要使用門票去換取圖畫填好顏色後交給工作人員掃描自己親手填色的圖畫就會出現在大螢幕上觸碰它們還會加速「小人兒所居住的桌子」我認為最可愛好玩的一個場景當日場內人不多冷氣很充足非常舒適不會悶熱出場後是紀念品商店、奈雪之茶商店內也有自助照片沖印的服務前往歡樂海岸創展中心最方便快捷的方式🚇9號線深圳灣公園E出口","http://qcloud.dpfile.com/pc/ljsaw_mYw6Y2aFoAB_RmKaH3YGN-_lt3-sJ_w1P7PoHaBFn8HnnPWD4Ft2wUQQf-.jpg","http://qcloud.dpfile.com/pc/cxFaw10TTcxVxl7Ha0-Rb-ou0clss1vk6MNS3eq5YzHdEiIQQMrIsGEjAV1-eRD0.jpg","http://qcloud.dpfile.com/pc/_47UQuLHKq4812THW1nOGF2-xlAgzIqsbKVDHvStx_0h8ta1TbMUc98hxtu-DcaE.jpg"
33,17,-1,"@大元宝",3,1,2017,4,2,6,25,56,"teamlab刚开展的时候就关注了这么久终于得愿teamlab通过沉浸体验引发观者的心灵沉思而teamLab的作品则呈现多声道管弦乐曲将光线、声音、视频、数字序列和虚拟现实等共同融入一个科技化的梦幻仙境之中当然也营照出拍照圣地之感不建议节假日去一百个不建议原因你懂的各种排队先不说对外场负责引导和售票的工作人员的态度实在是不敢恭维狂刷负分也给大众点评上买票的小伙伴提个醒大众买票的取票是在teamlab正门天面右侧有一个小小的人行通道旁边的报刊亭不要听现场的工作人员乱指挥会让你在大太阳底下排好久的队取票终于排到你了好了，工作人员告诉你不在这里取票我们和我们身后的好几个男孩子一脸的方有木有明明就是工作人员让我们在这里排队的也提前说明是在大众点评买的票了不知道是不是自己遇到了2、3个奇葩","http://qcloud.dpfile.com/pc/hi4NAMTmGikmnwPUYf3Fbab1_zDoO7uTG27GZ_4rgtPbpla-ED1TbR6ibHCizcGo.jpg","http://qcloud.dpfile.com/pc/Da241LsnSIPwDFT2J_fy1NZ4bVJoqeNTzYEH2zP1J79NQ4VaEppWnYr-WMMyhnyv.jpg","http://qcloud.dpfile.com/pc/MnIepnhLp4bQy0aqtgExUSRIaJtIjAgWnHrtFOu_lJY5MB5gRPCegjPN37jiiSg4.jpg"
