id,name,type,address,lng,lat,pname,cityname,adminname,biz_ext_rating,biz_ext_cost,telephone,photourl1,photourl2,photourl3
B02F37VMTF,东部华侨城,风景名胜;风景名胜;国家级景点,大梅沙,114.287666,22.626673,广东省,深圳市,盐田区,-1,-1,0755-88889888;15956969084,http://store.is.autonavi.com/showpic/4e36ccdbad3aac4e72a88d74dcc2d1dc,http://store.is.autonavi.com/showpic/2bb13fe561d5d0f495eb41e409fe1e2c,http://store.is.autonavi.com/showpic/df6c763d649005df901fa7a5afc297eb
B02F37UI67,龙城广场,风景名胜;公园广场;城市广场,中心城龙翔大道(近龙岗区政府),114.250257,22.717899,广东省,深圳市,龙岗区,4.2,-1,18928461880,http://store.is.autonavi.com/showpic/fa8756fefb0c643ef5152c83b5a007d9,http://store.is.autonavi.com/showpic/aa1e4ff0d2c9eb2a0b58d84961c49441,http://store.is.autonavi.com/showpic/8ffd897fd319e1190ff284d0d32da8be
B02F302560,海上世界,风景名胜;风景名胜;风景名胜,太子路,113.917012,22.483009,广东省,深圳市,南山区,3.5,-1,0755-26890000,http://store.is.autonavi.com/showpic/a2051621f73a0924f5fbb37b705e9094,http://store.is.autonavi.com/showpic/017ef4d6b5db58fa086ad9b45fb8e954,http://store.is.autonavi.com/showpic/a9eb3c7be1c3a8664a8de4adc77754ca
B02F37V8GM,大钟山,风景名胜;风景名胜;风景名胜,万丰中路303号,113.823074,22.719898,广东省,深圳市,宝安区,3.0,-1,-1,http://store.is.autonavi.com/showpic/b528af9f716311134e8929b5d1867488,http://store.is.autonavi.com/showpic/7705b9cb48b4f213ce55c566d7f44b43,http://store.is.autonavi.com/showpic/02c910d68140a8a600a0102754be2d1d
B02F302595,深圳锦绣中华民俗村,风景名胜;公园广场;公园,深南大道9001-9005号,113.988217,22.531084,广东省,深圳市,南山区,4.9,45.00,0755-26602111;0755-26600626,http://store.is.autonavi.com/showpic/04ec1f2d9557f9093b367dbf156af396,http://store.is.autonavi.com/showpic/6e849ff06961ab30bd5b2e37e2772575,http://store.is.autonavi.com/showpic/7751a1ba6fec7ad90b3d08b54ba9f96c
B02F30A3RV,龙园,风景名胜;公园广场;公园,龙园路416号,114.265972,22.73293,广东省,深圳市,龙岗区,3.5,-1,0755-28838044,http://store.is.autonavi.com/showpic/c6880d5b99ec137cad6a4282b4bb276b,http://store.is.autonavi.com/showpic/143215eab788768ee745742d512fb270,http://store.is.autonavi.com/showpic/8244599f4c1e0f03c3b72a9229aff87a
B02F30A3LS,龙华文化广场,风景名胜;公园广场;城市广场,龙华东环二路(深圳市国土资源和房产管理局龙华所东),114.03917,22.654999,广东省,深圳市,龙华区,3.5,-1,-1,http://store.is.autonavi.com/showpic/3d1f9447889b8c58f9572e3fd67e13d2,http://store.is.autonavi.com/showpic/a09ed62d9ed29e0d4b8631ca0764a04b,http://store.is.autonavi.com/showpic/b6486afed1644513721ebeae033c4549
B02F37VIOL,海滨公园,风景名胜;公园广场;公园,固戍村,113.845566,22.58748,广东省,深圳市,宝安区,2.0,170.00,-1,http://store.is.autonavi.com/showpic/f8193e47decdebf47ffec661944b25d2,http://store.is.autonavi.com/showpic/e692d51f38274c7b450aa08394fd8f7b,http://store.is.autonavi.com/showpic/4fa8e8a2a4388829922f9d7097e3ced5
B02F305FCR,皇岗公园,风景名胜;公园广场;公园,益田路2002,114.058034,22.517647,广东省,深圳市,福田区,3.5,240.00,0755-83491286,http://store.is.autonavi.com/showpic/f18e92b422e1f74ff108654d5b81406c,http://store.is.autonavi.com/showpic/8b7c950475453622fe8c04df0a3dd54d,http://store.is.autonavi.com/showpic/e6269f58b1c59fa1a880ed87dde31c4c
B02F37VQAF,长圳公园,风景名胜;公园广场;公园,光明新区长圳路36号对面,113.91994,22.717499,广东省,深圳市,宝安区,3.7,15.00,0755-25738430;0755-25722184,http://store.is.autonavi.com/showpic/1616bb956e236c4511a65e33c31d92cf,http://aos-cdn-image.amap.com/sns/ugccomment/b9ee6113-b922-419f-92ea-6716515ec79e.jpg,http://store.is.autonavi.com/showpic/ce99400a2a233988dba3ea41494e2f7d
B02F30ABLI,下村公园,风景名胜;公园广场;公园,下村北一巷兴和百货附近,113.884771,22.791305,广东省,深圳市,宝安区,3.5,-1,-1,http://store.is.autonavi.com/showpic/4568a7ef2e804bc9789129ffc17f2e1e,http://store.is.autonavi.com/showpic/a5e93a41c6d22ef6e532e95c983506e3,http://store.is.autonavi.com/showpic/835e384f98ea9584d92fa2dc1684f142
B02F37T4ZP,笔架山公园,风景名胜;公园广场;公园,梅岗路,114.080876,22.562893,广东省,深圳市,福田区,4.5,2.00,0755-83320237,http://store.is.autonavi.com/showpic/b36da4c8606d0fda69066711fa48395e,http://store.is.autonavi.com/showpic/31b9c96a4085f970b018e6f3e0ea240a,http://store.is.autonavi.com/showpic/566965e4fa3a24bf9ee012aa2b70190a
B02F306AHS,公明广场,风景名胜;公园广场;城市广场,光明新区公明街道松白公路(近公明汽车站),113.895171,22.77745,广东省,深圳市,宝安区,3.5,-1,-1,http://store.is.autonavi.com/showpic/657a4ebf3311d099c2c4be4ca0822099,http://store.is.autonavi.com/showpic/bcd2e55369355e0f549d0e667876d562,http://store.is.autonavi.com/showpic/2f4aad60c5925408a8b96b37f8ebe89f
B02F38IHDS,福田红树林自然保护区,风景名胜;风景名胜;风景名胜,滨海大道华侨城路段,114.013259,22.524394,广东省,深圳市,福田区,5.0,-1,0755-83707868,http://store.is.autonavi.com/showpic/01ca2a92f2727a4345cf4052038fae78,http://store.is.autonavi.com/showpic/0c1ed41226c547cc11fab181d95452d3,http://store.is.autonavi.com/showpic/12edf5c9fb0826d8b97018be3fb05fd3
B02F37V9LL,万福广场,风景名胜;公园广场;城市广场,福永镇福永大道,113.824021,22.670036,广东省,深圳市,宝安区,4.3,20.00,13612909715,http://store.is.autonavi.com/showpic/7e8bea588dcc1583b2413f1e06fdb6d4,http://store.is.autonavi.com/showpic/e330aad29d9afe7d94c134cc7668e310,http://store.is.autonavi.com/showpic/d5b59f135b3a0a442025b19e0692b9c7
B02F37UAJD,市民广场,风景名胜;公园广场;城市广场,福中三路,114.059661,22.541518,广东省,深圳市,福田区,5.0,26.00,-1,http://aos-cdn-image.amap.com/sns/ugccomment/04715676-64e6-4427-974e-e60f2508c56d.jpeg,http://aos-cdn-image.amap.com/sns/ugccomment/704d1cb4-d302-4532-b820-b0721f3bb45e.jpg,http://aos-cdn-image.amap.com/sns/ugccomment/db0136a0-d9c6-478a-936f-635fd6682eca.jpg
B02F3002EE,人民公园(人民北路),风景名胜;公园广场;公园,人民北路3071,114.117239,22.553198,广东省,深圳市,罗湖区,3.5,-1,0755-82223386,http://store.is.autonavi.com/showpic/7fe612049e7fa15ed7b9cddc2ca16836,http://store.is.autonavi.com/showpic/dcfe7f157c7f05127fd6c343fea03806,http://store.is.autonavi.com/showpic/f051a4e5cdbe7bda73322fdf4fb1d8b3
B02F30009D,布吉公园,风景名胜;公园广场;公园,金龙路21号,114.118397,22.604249,广东省,深圳市,龙岗区,3.5,-1,0755-83067950,http://store.is.autonavi.com/showpic/50fd36dda9190cba75f5844281709cb1,http://store.is.autonavi.com/showpic/e7e037adafc7b6504e7d483cfd48efc4,http://store.is.autonavi.com/showpic/b83b3be3833da512438d1d4d4239d9b7
B02F37V9FD,凤凰广场,风景名胜;公园广场;城市广场,福永街道凤凰山大道,113.835975,22.688567,广东省,深圳市,宝安区,4.5,-1,0755-25061070,http://store.is.autonavi.com/showpic/2a818c2eedad06e10664fc117c802cef,http://store.is.autonavi.com/showpic/4161dea5ab5d8d070bc69ddf58272011,http://store.is.autonavi.com/showpic/3238d42f6e79359ba3540794ec3dd9e5
B02F37U89L,南头古城,风景名胜;风景名胜;风景名胜,南头天桥北8米处(深南大道旁),113.921429,22.543019,广东省,深圳市,南山区,3.5,23.00,0755-26611170;0755-26504300,http://store.is.autonavi.com/showpic/67a9f3b4338c5af791e615d93f3e5dc7,http://store.is.autonavi.com/showpic/b95fcb8276d953b4028059013c59b5e8,http://store.is.autonavi.com/showpic/b266c9a25137664556a18eb3364dc553
B02F300114,求水山公园,风景名胜;风景名胜;风景名胜,布吉镇(近南岭花园),114.145151,22.597748,广东省,深圳市,龙岗区,3.5,5.00,0755-28751858,http://store.is.autonavi.com/showpic/b185092356e76a53ac3f02de2ad2df92,http://store.is.autonavi.com/showpic/45fd664e6ea7355926befd0a8d38c5d9,http://store.is.autonavi.com/showpic/91b0ec91244053f681abe1afc874f2a1
B02F37WRRR,平峦山公园,风景名胜;公园广场;公园,前进二路与宝田三路交叉口(桃源居),113.876198,22.608302,广东省,深圳市,宝安区,3.5,-1,18928461880,http://store.is.autonavi.com/showpic/1b15ba5c90c9555126dc83357d2020a2,http://store.is.autonavi.com/showpic/192494eca321958ed55978ab12e8e866,http://store.is.autonavi.com/showpic/3d8e3e24169998a43676d2377f5e465d
B02F37VPYY,坪山广场,风景名胜;公园广场;城市广场,深汕公路,114.33786,22.694107,广东省,深圳市,坪山区,3.5,-1,0755-26890000,http://store.is.autonavi.com/showpic/a2051621f73a0924f5fbb37b705e9094,http://store.is.autonavi.com/showpic/017ef4d6b5db58fa086ad9b45fb8e954,http://store.is.autonavi.com/showpic/a9eb3c7be1c3a8664a8de4adc77754ca
B02F37VJDJ,龙王古庙,风景名胜;风景名胜;寺庙道观,福永街道白石厦,113.840428,22.670824,广东省,深圳市,宝安区,3.5,-1,-1,http://store.is.autonavi.com/showpic/6e5ad99c793f765ecd92e5208a7cea0b,http://store.is.autonavi.com/showpic/e4e342f1ac6fa665c9e6068291894744,http://store.is.autonavi.com/showpic/542bf618ba12ebc58344362f3959fc0d
B02F37TTW7,荔枝公园,风景名胜;公园广场;公园,红岭中路1001,114.102312,22.54561,广东省,深圳市,福田区,5.0,45.00,0755-82095655,http://store.is.autonavi.com/showpic/0e8df9b0630ce924e76f3ccc20ef383a,http://store.is.autonavi.com/showpic/93780420be63ed7b341f1e51eb9706f8,http://store.is.autonavi.com/showpic/d53e1ddc2ad533aa3bf53164c8ef603c
B02F37T52O,羊台山森林公园,风景名胜;风景名胜;风景名胜,石岩镇龙腾路龙眼山村,113.965047,22.651372,广东省,深圳市,宝安区,4.0,-1,0755-27522408,http://store.is.autonavi.com/showpic/a2ce5b02a639b8cb9984d38e69ab9954,http://store.is.autonavi.com/showpic/74b9ec827948c98c1a9ac4247c56558c,http://store.is.autonavi.com/showpic/8b4f468b6d07f068f4fb60bc9967fdd9
B02F37V9HE,沙井市民广场,风景名胜;公园广场;城市广场,中心路29-31号,113.831019,22.723675,广东省,深圳市,宝安区,3.5,-1,-1,http://store.is.autonavi.com/showpic/981fdd9cd369eff261b4beee078f4bbe,http://store.is.autonavi.com/showpic/a1aa12c92517d01819756b558d8421ef,http://store.is.autonavi.com/showpic/854d49f94fb078afcf9351710d2af78e
B02F37WQSV,深圳湾公园流花山,风景名胜;公园广场;公园,滨海大道,113.953105,22.504114,广东省,深圳市,南山区,2.0,170.00,-1,http://store.is.autonavi.com/showpic/f8193e47decdebf47ffec661944b25d2,http://store.is.autonavi.com/showpic/e692d51f38274c7b450aa08394fd8f7b,http://store.is.autonavi.com/showpic/4fa8e8a2a4388829922f9d7097e3ced5
B02F37UNCF,罗湖创意文化广场,风景名胜;公园广场;城市广场,南极路6号(广深宾馆),114.127634,22.543198,广东省,深圳市,罗湖区,3.5,240.00,0755-82299822,http://store.is.autonavi.com/showpic/91c00f9d0241d2575704159887ed0a6d,http://store.is.autonavi.com/showpic/a56b371cfd6c402dad1eb711cdb2b5cb,http://store.is.autonavi.com/showpic/8f89d5724657ab59d483f5f5df9f1fdf
B02F37VAEM,园科公园,风景名胜;公园广场;公园,东门北路2070号,114.135239,22.558047,广东省,深圳市,罗湖区,3.5,15.00,0755-26580698,http://store.is.autonavi.com/showpic/d18644b8785ca4dd6c119294eb86f946,http://store.is.autonavi.com/showpic/f0fddb23d87a5a84d6cd5be677d3552e,http://store.is.autonavi.com/showpic/841db1f400d4644dfedc93b03791ceca
B02F38I7N5,东湖公园-万佛禅寺,风景名胜;风景名胜;寺庙道观,罗沙路,114.148136,22.555543,广东省,深圳市,罗湖区,3.5,-1,-1,http://store.is.autonavi.com/showpic/eb4a51a10bcfe30bdef59bcddd5f8fbd,http://store.is.autonavi.com/showpic/c6342f7c66925d350a55385ff5ce4bfe,http://store.is.autonavi.com/showpic/f1c9ce51e19ae7201020040c6fe75fac
B02F37RKRH,儿童公园,风景名胜;公园广场;公园,童乐路12号,114.124243,22.554009,广东省,深圳市,罗湖区,4.6,2.00,0755-82222716;0755-82239822,http://store.is.autonavi.com/showpic/cfd939273b8df6a7287ac828ec5a5886,http://store.is.autonavi.com/showpic/2031d3da49f351d91488ec85b4cdfeee,http://store.is.autonavi.com/showpic/8b2624bc9d9e9a50edf23fb8b6312fc0
B02F37U64M,女娲滨海公园-女娲补天,风景名胜;风景名胜;风景名胜,蛇口海上世界,113.917640,22.481596,广东省,深圳市,南山区,3.5,-1,-1,http://store.is.autonavi.com/showpic/08fe9f37197224f32e7101018b720759,http://store.is.autonavi.com/showpic/08c882eaca063a7ed1898146206aa544,http://store.is.autonavi.com/showpic/2d200214aab0b3ef6c8882888e817bdc
B02F3022D6,荔香公园,风景名胜;公园广场;公园,南光路145-8对面,113.929414,22.536504,广东省,深圳市,南山区,4.5,-1,0755-83707868,http://store.is.autonavi.com/showpic/61f949276535156922a4703d69c34a7f,http://store.is.autonavi.com/showpic/91b0ec91244053f681abe1afc874f2a1,http://store.is.autonavi.com/showpic/0c46ca463e32f8b7f314e92fdcb26433
B02F37U63X,塘朗山公园,风景名胜;公园广场;公园,龙珠六路尽头处,114.011173,22.574404,广东省,深圳市,福田区,4.0,20.00,0755-26798753;0755-26789739,http://store.is.autonavi.com/showpic/69bb4993dc99af42283a4c03b250a1a8,http://store.is.autonavi.com/showpic/87f125c52e807a2d856a231c8bd2d836,http://store.is.autonavi.com/showpic/07cda0b289a37a067275b77c1c5d4f0d
B02F37WNHZ,锦绣园,风景名胜;公园广场;公园,三龙花园附近,114.059474,22.526593,广东省,深圳市,福田区,3.5,26.00,-1,http://store.is.autonavi.com/showpic/2eee80b60beccc3fbee32addb9253859,http://store.is.autonavi.com/showpic/da6094925ed0acd1f2447d1c33c320d1,http://store.is.autonavi.com/showpic/22a11f2a2b78d2ded6389b63476afa00
B02F37TZQ5,荔枝公园(南海大道),风景名胜;公园广场;公园,红岭中路1001号,113.916371,22.488743,广东省,深圳市,南山区,3.5,-1,0755-87855084,http://store.is.autonavi.com/showpic/fe11e4b022b139e14232188b552f949d,http://store.is.autonavi.com/showpic/4c6e8e1f26e8c96c780fcfe0e5becec6,http://store.is.autonavi.com/showpic/61c7220d4d0681471501695634de3ee6
B02F309XH2,后山花园,风景名胜;公园广场;公园,恒丰工业城c4栋7楼,113.870627,22.630659,广东省,深圳市,宝安区,3.0,-1,0755-83067950,http://store.is.autonavi.com/showpic/50fd36dda9190cba75f5844281709cb1,http://store.is.autonavi.com/showpic/e7e037adafc7b6504e7d483cfd48efc4,http://store.is.autonavi.com/showpic/b83b3be3833da512438d1d4d4239d9b7
B02F3009FA,深圳中心公园,风景名胜;公园广场;公园,振华西路1号,114.078087,22.545255,广东省,深圳市,福田区,4.5,-1,0755-83244645,http://store.is.autonavi.com/showpic/d551f4ff852098f1d95ce49932a1fa64,http://store.is.autonavi.com/showpic/0c91efd4d02625979f8010ce41e408ac,http://store.is.autonavi.com/showpic/d9cbd01abc81c20d855f3893a0d70b33
B02F37T53H,坑梓中心公园,风景名胜;公园广场;公园,吉康路与梓兴路交界处,114.377351,22.73489,广东省,深圳市,坪山区,3.5,23.00,0755-26611170;0755-26504300,http://store.is.autonavi.com/showpic/b1dfacacb18afd42956f7dad302eeced,http://store.is.autonavi.com/showpic/1bbbe15533d68e662d6a8d9392ebc67e,http://store.is.autonavi.com/showpic/91b95b87904d27deaf77cb97f30199e1
B02F37VZK1,翠竹公园,风景名胜;公园广场;公园,翠竹路1078号,114.134298,22.563858,广东省,深圳市,罗湖区,3.5,5.00,0755-25796374;0755-88821234,http://store.is.autonavi.com/showpic/db14192584826efb0dcc20e0058f927d,http://store.is.autonavi.com/showpic/077b2a24a8792e89e2d4478d184aec5a,http://store.is.autonavi.com/showpic/efd6c22d61f891b921d70beb6c4e7e11
B02F37UU57,坪山公园,风景名胜;公园广场;公园,坪山汽车总站斜对面,114.343961,22.688558,广东省,深圳市,坪山区,3.5,-1,18928461880,http://store.is.autonavi.com/showpic/33a57a29fd0d764975fb63346cd355f3,http://store.is.autonavi.com/showpic/a954fea0955eb76f74588164ffc48d19,http://store.is.autonavi.com/showpic/3d655f059d971ad2b3b2896c0dace93f
B02F3006FD,基督教深圳堂,风景名胜;风景名胜;教堂,梅林路126号,114.046963,22.568345,广东省,深圳市,福田区,4.0,-1,0755-83118817,http://store.is.autonavi.com/showpic/ff229f54b6b56cdf18f0821a4f35b456,http://store.is.autonavi.com/showpic/d1965824d29b76d6b0ae29eb59701422,http://store.is.autonavi.com/showpic/7cc0b7eb8ec0fa33b28792d13a529fc3
B02F37SI8P,平湖生态园,风景名胜;公园广场;公园,华南大道1号华南城西门对面,114.110644,22.674107,广东省,深圳市,龙岗区,3.1,-1,-1,http://store.is.autonavi.com/showpic/72825a3baa1d8a1f2fb47afecc9495c4,http://store.is.autonavi.com/showpic/1ec0fe3f37262e18ad6403928411bc52,http://store.is.autonavi.com/showpic/fd939523b43a20ad0b5ba99be9f21367
B02F37UK43,福田区文化广场,风景名胜;公园广场;城市广场|科教文化服务;科教文化场所;科教文化场所,景田路8号,114.045416,22.54528,广东省,深圳市,福田区,3.0,45.00,0755-82095655,http://store.is.autonavi.com/showpic/ff3e92e394e04f2b81c9dad48869e9cc,http://store.is.autonavi.com/showpic/454b8bbab6cd3e92a8770ef15443a46a,http://store.is.autonavi.com/showpic/d087a04180f2286617446efca2f10c01
B02F37UI6D,马峦山郊野公园,风景名胜;风景名胜;风景名胜,坪马线公路,114.347569,22.658033,广东省,深圳市,坪山区,3.5,-1,0755-89785020,http://store.is.autonavi.com/showpic/ed067d1a3891b2a14af139b0de2292cf,http://store.is.autonavi.com/showpic/107b384384871bb6c974667b83326a7f,http://store.is.autonavi.com/showpic/70b441eb7ec491257e22eadd5260b970
B02F302563,四海公园,风景名胜;公园广场;公园,公园路82-2号,113.926915,22.49601,广东省,深圳市,南山区,3.5,-1,0755-26898011,http://store.is.autonavi.com/showpic/31096b4216bd61e0dc520531f7229e0d,http://store.is.autonavi.com/showpic/3358ff668ee753cdb18afb663da9220d,http://store.is.autonavi.com/showpic/350b17ec2d2148a32df0c1da808d1dc3
B02F37VHXJ,大鹏所城,风景名胜;风景名胜;风景名胜,南门东路,114.513254,22.595087,广东省,深圳市,龙岗区,4.5,20.00,0755-84315618,http://store.is.autonavi.com/showpic/022dd80119f9aa044ed5bb3a95cb3316,http://store.is.autonavi.com/showpic/b3711d858800fa2ac01ff3c52da56fd5,http://store.is.autonavi.com/showpic/1275abd0a1319dadc470f19c2cd36aca
B02F37VK03,石芽岭公园,风景名胜;公园广场;公园,东西干道,114.126711,22.619456,广东省,深圳市,龙岗区,3.0,240.00,0755-82299822,http://store.is.autonavi.com/showpic/1356a27f4d5bdd06795dd6613305ecf4,http://store.is.autonavi.com/showpic/fd25780f30bd202dff99cd14b503e9bf,http://store.is.autonavi.com/showpic/d3803a8ea8d98bdb0a09c24e6ad635db
B02F37VJSG,基督教福音堂,风景名胜;风景名胜;教堂,塘坑路,113.954871,22.683477,广东省,深圳市,宝安区,3.7,15.00,0755-26580698,http://store.is.autonavi.com/showpic/d18644b8785ca4dd6c119294eb86f946,http://store.is.autonavi.com/showpic/f0fddb23d87a5a84d6cd5be677d3552e,http://store.is.autonavi.com/showpic/841db1f400d4644dfedc93b03791ceca
B02F37VP61,灵芝公园,风景名胜;公园广场;公园,前进一路80号,113.907543,22.569525,广东省,深圳市,宝安区,3.5,-1,-1,http://store.is.autonavi.com/showpic/9ff927789981c0e509d00dd12c54d671,http://store.is.autonavi.com/showpic/5f51ae85ec7421e5cfc2b6088e158c16,http://store.is.autonavi.com/showpic/c5c86eb91977a79ff99de2832752aef6
B02F37WDIZ,桂花公园,风景名胜;公园广场;公园,观澜镇桂花村,114.052394,22.746951,广东省,深圳市,龙华区,1.0,2.00,0755-82222716;0755-82239822,http://store.is.autonavi.com/showpic/75ee86466989eb0d1a1a458cc1f3c144,http://store.is.autonavi.com/showpic/6136ea458540a3a09c2c492acb8ebe42,http://store.is.autonavi.com/showpic/ccd87fece18fd3b093be7840bc6935d6
B02F30ABLM,下李朗公园,风景名胜;公园广场;公园,下李北路与大围路交叉口南100米,114.13457,22.638662,广东省,深圳市,龙岗区,3.7,-1,-1,http://store.is.autonavi.com/showpic/2d2ff0c1312509988a5f257380ee599d,http://store.is.autonavi.com/showpic/27c1d63739fcb8f7a8d7fadb45a171f2,http://store.is.autonavi.com/showpic/d739131946143ec7964d1952999cf169
B02F37VM44,月亮湾公园,风景名胜;公园广场;公园,前海路0333号阳光玫瑰园对面,113.899176,22.500433,广东省,深圳市,南山区,3.5,-1,0755-82972900,http://store.is.autonavi.com/showpic/dc336cb4f8172c9f1775677b44c5374d,http://store.is.autonavi.com/showpic/7d86f61a6fa22aa85d134322dc28acda,http://store.is.autonavi.com/showpic/e3f354982868775d6b2618096c7563a4
B02F37WDT7,松岗公园,风景名胜;公园广场;公园,松岗麒麟山(近松岗人民医院),113.848555,22.784077,广东省,深圳市,宝安区,3.5,20.00,0755-26798753;0755-26789739,http://store.is.autonavi.com/showpic/b2b6a90fc4aab955bc68c0ec5505f067,http://store.is.autonavi.com/showpic/4b95a9ae46d24abf6f3a7269b42edd97,http://store.is.autonavi.com/showpic/61c79487f387b37d5ab1e1d9c069c632
B02F37VJA4,海上田园-趣味植物园,风景名胜;风景名胜;风景名胜,和二一路32号,113.770048,22.726385,广东省,深圳市,宝安区,5.0,26.00,-1,http://store.is.autonavi.com/showpic/6e9a554d8ce0e187b0cfe5ae49839afa,http://store.is.autonavi.com/showpic/88dab8b4f231ee7ca4b042f2677f0bdf,http://store.is.autonavi.com/showpic/06d9a2861ecec1a7ff4bf3e7e7181bae
